Vehicle Number,Vehicle ID,Violation Type,Timestamp,Frame Number,Location,Time Slot,Latitude,Longitude,Confidence Score,Riders Count
UNKNOWN,22,Triple Riding,2026-06-12 23:21:46,3,Junction A,23:00-00:00,18.5204,73.8567,0.572,7
UNKNOWN,23,Triple Riding,2026-06-12 23:21:46,3,Junction A,23:00-00:00,18.5204,73.8567,0.5062,4
UNKNOWN,-1,No Helmet,2026-06-12 23:21:47,3,Junction A,23:00-00:00,18.5204,73.8567,0.3095,0
UNKNOWN,-1,No Helmet,2026-06-12 23:21:47,3,Junction A,23:00-00:00,18.5204,73.8567,0.3095,0
UNKNOWN,-1,No Helmet,2026-06-12 23:21:51,6,Junction A,23:00-00:00,18.5204,73.8567,0.5054,0
UNKNOWN,-1,No Helmet,2026-06-12 23:21:55,9,Junction A,23:00-00:00,18.5204,73.8567,0.489,0
UNKNOWN,-1,No Helmet,2026-06-12 23:21:58,12,Junction A,23:00-00:00,18.5204,73.8567,0.5821,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:01,15,Junction A,23:00-00:00,18.5204,73.8567,0.5887,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:07,18,Junction A,23:00-00:00,18.5204,73.8567,0.1911,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:07,18,Junction A,23:00-00:00,18.5204,73.8567,0.1911,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:07,18,Junction A,23:00-00:00,18.5204,73.8567,0.4573,0
UNKNOWN,30,Triple Riding,2026-06-12 23:22:08,21,Junction A,23:00-00:00,18.5204,73.8567,0.4817,3
UNKNOWN,-1,No Helmet,2026-06-12 23:22:10,21,Junction A,23:00-00:00,18.5204,73.8567,0.2098,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:10,21,Junction A,23:00-00:00,18.5204,73.8567,0.2098,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:10,21,Junction A,23:00-00:00,18.5204,73.8567,0.5502,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:12,24,Junction A,23:00-00:00,18.5204,73.8567,0.2052,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:12,24,Junction A,23:00-00:00,18.5204,73.8567,0.2052,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:12,24,Junction A,23:00-00:00,18.5204,73.8567,0.5256,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:13,27,Junction A,23:00-00:00,18.5204,73.8567,0.2698,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:13,27,Junction A,23:00-00:00,18.5204,73.8567,0.2698,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:13,27,Junction A,23:00-00:00,18.5204,73.8567,0.4754,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:14,30,Junction A,23:00-00:00,18.5204,73.8567,0.3376,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:14,33,Junction A,23:00-00:00,18.5204,73.8567,0.6123,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:14,33,Junction A,23:00-00:00,18.5204,73.8567,0.6123,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:15,36,Junction A,23:00-00:00,18.5204,73.8567,0.5214,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:15,36,Junction A,23:00-00:00,18.5204,73.8567,0.5214,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:16,39,Junction A,23:00-00:00,18.5204,73.8567,0.6496,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:16,39,Junction A,23:00-00:00,18.5204,73.8567,0.6496,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:17,42,Junction A,23:00-00:00,18.5204,73.8567,0.1679,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:17,42,Junction A,23:00-00:00,18.5204,73.8567,0.1679,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:17,42,Junction A,23:00-00:00,18.5204,73.8567,0.5487,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:17,42,Junction A,23:00-00:00,18.5204,73.8567,0.5487,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:17,45,Junction A,23:00-00:00,18.5204,73.8567,0.1787,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:17,45,Junction A,23:00-00:00,18.5204,73.8567,0.1787,0
UNKNOWN,-1,No Helmet,2026-06-12 23:22:17,45,Junction A,23:00-00:00,18.5204,73.8567,0.5165,0
